iter	Passed	Remaining
444	1175	1466
445	1177	1462
446	1179	1459
447	1181	1456
448	1184	1453
449	1186	1450
450	1188	1447
451	1190	1443
452	1193	1440
453	1195	1437
454	1197	1434
455	1199	1430
456	1201	1427
457	1203	1424
458	1206	1421
459	1208	1418
460	1210	1415
461	1212	1411
462	1214	1408
463	1216	1405
464	1219	1402
465	1221	1399
466	1223	1396
467	1225	1392
468	1227	1389
469	1229	1386
470	1231	1383
471	1234	1380
472	1236	1377
473	1238	1374
474	1240	1371
475	1242	1367
476	1244	1364
477	1247	1362
478	1249	1359
479	1251	1356
480	1253	1352
481	1256	1349
482	1258	1346
483	1260	1343
484	1262	1341
485	1265	1337
486	1267	1334
487	1269	1331
488	1271	1328
489	1273	1325
490	1275	1322
491	1277	1319
492	1280	1316
493	1282	1313
494	1284	1310
495	1286	1307
496	1288	1304
497	1290	1301
498	1292	1298
499	1295	1295
500	1297	1292
501	1299	1289
502	1301	1286
503	1303	1283
504	1305	1279
505	1307	1276
506	1310	1273
507	1312	1271
508	1314	1268
509	1316	1265
510	1318	1262
511	1320	1259
512	1323	1256
513	1325	1253
514	1327	1250
515	1329	1247
516	1331	1244
517	1334	1241
518	1336	1238
519	1338	1235
520	1340	1232
521	1342	1229
522	1345	1226
523	1347	1223
524	1349	1220
525	1351	1217
526	1353	1214
527	1355	1212
528	1357	1209
529	1360	1206
530	1362	1203
531	1364	1200
532	1366	1197
533	1368	1194
534	1370	1191
535	1372	1188
536	1374	1185
537	1377	1182
538	1379	1179
539	1381	1176
540	1383	1173
541	1385	1170
542	1387	1167
543	1389	1164
544	1391	1162
545	1394	1159
546	1396	1156
547	1398	1153
548	1400	1150
549	1402	1147
550	1404	1144
551	1406	1141
552	1408	1138
553	1411	1135
554	1413	1133
555	1415	1130
556	1417	1127
557	1419	1124
558	1421	1121
559	1423	1118
560	1425	1115
561	1428	1112
562	1430	1110
563	1432	1107
564	1434	1104
565	1436	1101
566	1438	1098
567	1441	1096
568	1443	1093
569	1445	1090
570	1447	1087
571	1449	1084
572	1451	1081
573	1453	1079
574	1456	1076
575	1458	1073
576	1460	1070
577	1462	1067
578	1464	1065
579	1466	1062
580	1469	1059
581	1471	1056
582	1473	1054
583	1475	1051
584	1478	1048
585	1480	1045
586	1482	1042
587	1484	1040
588	1487	1037
589	1490	1035
590	1493	1033
591	1495	1030
592	1497	1027
593	1499	1025
594	1502	1022
595	1504	1020
596	1506	1017
597	1508	1014
598	1511	1011
599	1513	1008
600	1515	1006
601	1517	1003
602	1519	1000
603	1521	997
604	1524	995
605	1526	992
606	1528	989
607	1530	986
608	1532	984
609	1534	981
610	1537	978
611	1539	975
612	1541	973
613	1543	970
614	1545	967
615	1547	964
616	1550	962
617	1552	959
618	1554	956
619	1556	954
620	1558	951
621	1560	948
622	1563	945
623	1565	943
624	1567	940
625	1569	937
626	1571	935
627	1573	932
628	1576	929
629	1578	926
630	1580	924
631	1582	921
632	1585	919
633	1587	916
634	1589	913
635	1592	911
636	1594	908
637	1596	905
638	1598	903
639	1601	900
640	1603	897
641	1605	895
642	1607	892
643	1609	889
644	1611	887
645	1614	884
646	1616	882
647	1618	879
648	1621	876
649	1623	874
650	1625	871
651	1627	868
652	1630	866
653	1632	863
654	1634	860
655	1636	858
656	1638	855
657	1641	852
658	1643	850
659	1645	847
660	1647	845
661	1650	842
662	1652	839
663	1654	837
664	1656	834
665	1658	831
666	1661	829
667	1663	826
668	1665	824
669	1667	821
670	1669	818
671	1671	816
672	1674	813
673	1676	810
674	1678	808
675	1680	805
676	1682	802
677	1685	800
678	1687	797
679	1689	794
680	1691	792
681	1693	789
682	1696	787
683	1698	784
684	1700	781
685	1702	779
686	1704	776
687	1706	773
688	1709	771
689	1711	768
690	1713	766
691	1715	763
692	1717	760
693	1719	758
694	1722	755
695	1724	753
696	1726	750
697	1728	747
698	1730	745
699	1732	742
700	1735	740
701	1737	737
702	1739	734
703	1741	732
704	1743	729
705	1745	727
706	1748	724
707	1750	721
708	1752	719
709	1754	716
710	1757	714
711	1759	711
712	1761	708
713	1763	706
714	1765	703
715	1767	701
716	1769	698
717	1772	696
718	1774	693
719	1776	690
720	1778	688
721	1780	685
722	1782	683
723	1785	680
724	1787	677
725	1789	675
726	1791	672
727	1793	670
728	1796	667
729	1798	665
730	1800	662
731	1802	659
732	1804	657
733	1806	654
734	1808	652
735	1811	649
736	1813	647
737	1815	644
738	1817	641
739	1819	639
740	1822	636
741	1824	634
742	1826	631
743	1828	629
744	1830	626
745	1832	624
746	1835	621
747	1837	619
748	1839	616
749	1841	613
750	1844	611
751	1846	608
752	1848	606
753	1850	603
754	1853	601
755	1855	598
756	1857	596
757	1859	593
758	1861	591
759	1863	588
760	1866	586
761	1868	583
762	1871	581
763	1873	578
764	1876	576
765	1878	573
766	1880	571
767	1883	568
768	1885	566
769	1887	563
770	1889	561
771	1891	558
772	1894	556
773	1896	553
774	1898	551
775	1901	548
776	1903	546
777	1905	543
778	1907	541
779	1909	538
780	1911	536
781	1913	533
782	1916	531
783	1918	528
784	1920	525
785	1922	523
786	1924	520
787	1926	518
788	1929	515
789	1931	513
790	1933	510
791	1935	508
792	1937	505
793	1940	503
794	1942	500
795	1944	498
796	1946	495
797	1948	493
798	1951	490
799	1953	488
800	1955	485
801	1957	483
802	1959	480
803	1962	478
804	1964	475
805	1966	473
806	1968	470
807	1970	468
808	1972	465
809	1975	463
810	1977	460
811	1979	458
812	1981	455
813	1983	453
814	1986	450
815	1988	448
816	1990	445
817	1992	443
818	1994	440
819	1997	438
820	1999	435
821	2001	433
822	2003	430
823	2005	428
824	2007	425
825	2010	423
826	2012	421
827	2014	418
828	2017	416
829	2019	413
830	2021	411
831	2023	408
832	2026	406
833	2028	403
834	2030	401
835	2032	398
836	2034	396
837	2036	393
838	2038	391
839	2040	388
840	2042	386
841	2044	383
842	2047	381
843	2049	378
844	2051	376
845	2053	373
846	2055	371
847	2058	368
848	2060	366
849	2062	363
850	2064	361
851	2066	359
852	2068	356
853	2070	354
854	2073	351
855	2075	349
856	2077	346
857	2079	344
858	2081	341
859	2084	339
860	2086	336
861	2087	334
862	2090	331
863	2092	329
864	2094	326
865	2096	324
866	2098	321
867	2101	319
868	2103	317
869	2105	314
870	2107	312
871	2109	309
872	2112	307
873	2114	304
874	2116	302
875	2118	299
876	2120	297
877	2123	294
878	2125	292
879	2127	290
880	2129	287
881	2131	285
882	2133	282
883	2136	280
884	2138	277
885	2140	275
886	2142	272
887	2144	270
888	2146	268
889	2149	265
890	2151	263
891	2153	260
892	2155	258
893	2157	255
