iter	Logloss
0	0.6862196348
1	0.6823913694
2	0.6747679547
3	0.6679823113
4	0.6607114797
5	0.6551783072
6	0.6493349593
7	0.6450071257
8	0.6388270566
9	0.632901771
10	0.6269787114
11	0.6214579017
12	0.6153318657
13	0.6101794761
14	0.6048812021
15	0.598684755
16	0.593355942
17	0.5883492512
18	0.5830590868
19	0.5780784687
20	0.5733408809
21	0.5683797533
22	0.5639065933
23	0.5585481517
24	0.5547420856
25	0.5502422548
26	0.5463022398
27	0.5430953618
28	0.5398827676
29	0.5367555926
30	0.53296035
31	0.529422552
32	0.5267508767
33	0.5232061015
34	0.5198699031
35	0.5162793392
36	0.5130558712
37	0.5097942268
38	0.5064379847
39	0.5035244941
40	0.5008798984
41	0.4980788653
42	0.4960010734
43	0.4929566903
44	0.4900520684
45	0.4871833399
46	0.4842750099
47	0.4816934989
48	0.4791042328
49	0.476617088
50	0.4741613626
51	0.471614485
52	0.4697943536
53	0.4680277933
54	0.4656896423
55	0.4639627515
56	0.4613034566
57	0.459463715
58	0.4571018305
59	0.4554976956
60	0.454048418
61	0.4523130587
62	0.4501288994
63	0.4484138189
64	0.4465381099
65	0.4451393984
66	0.4435096813
67	0.4419941273
68	0.4401462745
69	0.4386289878
70	0.4367357569
71	0.4352822313
72	0.4340585563
73	0.4332531705
74	0.4315779628
75	0.4301211323
76	0.4285859536
77	0.4269408273
78	0.4254359022
79	0.4239750676
80	0.4227616907
81	0.421446008
82	0.4209323997
83	0.4193519106
84	0.4181850546
85	0.4172959632
86	0.4162105683
87	0.4151490424
88	0.4139971961
89	0.4131168636
90	0.4115597776
91	0.4105725829
92	0.4092730427
93	0.4081908497
94	0.4069644862
95	0.4056642469
96	0.4049478184
97	0.4041621862
98	0.4032370787
99	0.4025278545
100	0.4014811583
101	0.4004671577
102	0.3997907769
103	0.3987969643
104	0.3983465444
105	0.3973499297
106	0.3962494385
107	0.3953716849
108	0.3945495221
109	0.3935667387
110	0.3926588429
111	0.3917306046
112	0.3909483247
113	0.3905765561
114	0.3897293331
115	0.3890578089
116	0.3881601437
117	0.3871555282
118	0.3862775485
119	0.3855686698
120	0.384654259
121	0.3839396932
122	0.3832822274
123	0.3823483535
124	0.3812525974
125	0.3803870377
126	0.3797728827
127	0.3791928466
128	0.3786823643
129	0.377963233
130	0.377432053
131	0.3767845507
132	0.3760653381
133	0.3755005937
134	0.3749045599
135	0.3739608178
136	0.373252425
137	0.3726103718
138	0.3719601059
139	0.3717194109
140	0.3712144929
141	0.370587564
142	0.3698677936
143	0.3691167034
144	0.368415894
145	0.3676804388
146	0.3670837043
147	0.3664665956
148	0.3658339259
149	0.3651925666
150	0.3644714042
151	0.3639704342
152	0.3631702055
153	0.362581445
154	0.3620879138
155	0.3616022117
156	0.3608849416
157	0.3602101111
158	0.3596588029
159	0.359163936
160	0.3586558404
161	0.3581319508
162	0.3575513571
163	0.3571054536
164	0.3568149569
165	0.3563602559
166	0.3557305816
167	0.3553217607
168	0.3546481351
169	0.354358421
170	0.3536703533
171	0.3533580062
172	0.3527136321
173	0.3522732518
174	0.3517953018
175	0.3512104519
176	0.3506625113
177	0.3498655352
178	0.3494312097
179	0.3487466743
180	0.3483083083
181	0.3479672983
182	0.3474828508
183	0.3469446259
184	0.3462814023
185	0.3459766694
186	0.3455300981
187	0.3449487935
188	0.344546606
189	0.3441904384
190	0.3434022053
191	0.3430921767
192	0.34270282
193	0.3423362722
194	0.3418890276
